Name,Team,Position,Date,Notes
Kris Dunn,Boston Celtics,PG,10/04/2019,placed on IL with strained back (out for season)
Kris Dunn,Boston Celtics,PG,02/02/2020,placed on IL with sprained MCL in right knee (out for season)
Tacko Fall,Boston Celtics,C,22/10/2019,concussion (DTD)
Tacko Fall,Boston Celtics,C,26/10/2019,placed on IL with concussion
Tacko Fall,Boston Celtics,C,26/10/2019,activated from IL
Bruno Fernando,Boston Celtics,F,08/01/2020,placed on IL with strained left calf
Bruno Fernando,Boston Celtics,F,28/01/2020,placed on IL with strained left calf
Bruno Fernando,Boston Celtics,F,05/02/2020,activated from IL
Bruno Fernando,Boston Celtics,F,07/02/2020,strained left calf (DTD)
Bruno Fernando,Boston Celtics,F,09/02/2020,returned to lineup
Al Horford,Boston Celtics,C,21/01/2011,placed on IL with sore right ankle
Al Horford,Boston Celtics,C,26/01/2011,activated from IL
Al Horford,Boston Celtics,C,05/02/2011,placed on IL with bruised back
Al Horford,Boston Celtics,C,12/02/2011,activated from IL
Al Horford,Boston Celtics,C,12/03/2011,placed on IL with sprained/sore left ankle
Al Horford,Boston Celtics,C,15/03/2011,activated from IL
Al Horford,Boston Celtics,C,12/01/2012,placed on IL with torn left pectoral muscle
Al Horford,Boston Celtics,C,17/01/2012,surgery to repair torn left pectoral muscle (out for season)
Al Horford,Boston Celtics,C,06/05/2012,activated from IL
Al Horford,Boston Celtics,C,14/11/2012,stomach virus (DNP)
Al Horford,Boston Celtics,C,18/01/2013,left hamstring injury (DNP)
Al Horford,Boston Celtics,C,23/01/2013,sore left calf (P) / hamstring (CBC) (DNP)
Al Horford,Boston Celtics,C,29/03/2013,stomach illness (DNP)
Al Horford,Boston Celtics,C,30/03/2013,stomach illness (DNP)
Al Horford,Boston Celtics,C,06/04/2013,hamstring injury (DTD)
Al Horford,Boston Celtics,C,16/04/2013,sore chest (P) / shoulder injury (CBC) (DNP)
Al Horford,Boston Celtics,C,17/04/2013,shoulder injury (DNP)
Al Horford,Boston Celtics,C,27/12/2013,torn right pectoral muscle (out for season)
Al Horford,Boston Celtics,C,28/12/2013,placed on IL with torn right pectoral muscle (out for season)
Al Horford,Boston Celtics,C,31/12/2013,surgery to repair torn pectoral muscle (out for season)
Al Horford,Boston Celtics,C,19/04/2014,activated from IL
Al Horford,Boston Celtics,C,30/12/2014,illness (DTD)
Al Horford,Boston Celtics,C,02/01/2015,returned to lineup
Al Horford,Boston Celtics,C,14/01/2015,placed on IL for rest
Al Horford,Boston Celtics,C,16/01/2015,activated from IL
Al Horford,Boston Celtics,C,16/03/2015,rest (DTD)
Al Horford,Boston Celtics,C,18/03/2015,returned to lineup
Al Horford,Boston Celtics,C,28/03/2015,rest (DTD)
Al Horford,Boston Celtics,C,30/03/2015,returned to lineup
Al Horford,Boston Celtics,C,12/04/2015,rest (DTD)
Al Horford,Boston Celtics,C,13/04/2015,returned to lineup
Al Horford,Boston Celtics,C,02/11/2016,placed on IL with concussion
Al Horford,Boston Celtics,C,19/11/2016,activated from IL
Al Horford,Boston Celtics,C,27/01/2017,groin injury (DTD)
Al Horford,Boston Celtics,C,27/01/2017,placed on IL with sore left groin
Al Horford,Boston Celtics,C,30/01/2017,activated from IL
Al Horford,Boston Celtics,C,05/03/2017,placed on IL with sprained right elbow
Al Horford,Boston Celtics,C,08/03/2017,activated from IL
Al Horford,Boston Celtics,C,08/11/2017,placed on IL with concussion
Al Horford,Boston Celtics,C,12/11/2017,activated from IL
Al Horford,Boston Celtics,C,13/12/2017,placed on IL for rest
Al Horford,Boston Celtics,C,15/12/2017,activated from IL
Al Horford,Boston Celtics,C,06/01/2018,sore left calf / knee injury (DTD)
Al Horford,Boston Celtics,C,11/01/2018,returned to lineup
Al Horford,Boston Celtics,C,24/01/2018,concussion (DTD)
Al Horford,Boston Celtics,C,27/01/2018,returned to lineup
Al Horford,Boston Celtics,C,11/03/2018,placed on IL with illness
Al Horford,Boston Celtics,C,16/03/2018,activated from IL
Al Horford,Boston Celtics,C,28/03/2018,ankle injury (DTD)
Al Horford,Boston Celtics,C,31/03/2018,returned to lineup
Al Horford,Boston Celtics,C,06/04/2018,placed on IL for rest
Al Horford,Boston Celtics,C,08/04/2018,activated from IL
Al Horford,Boston Celtics,C,11/04/2018,placed on IL for rest
Al Horford,Boston Celtics,C,15/04/2018,activated from IL
Al Horford,Boston Celtics,C,23/11/2018,placed on IL with sore left knee
Al Horford,Boston Celtics,C,24/11/2018,activated from IL
Al Horford,Boston Celtics,C,30/11/2018,placed on IL
Al Horford,Boston Celtics,C,01/12/2018,activated from IL
Al Horford,Boston Celtics,C,08/12/2018,sore left knee (DTD)
Al Horford,Boston Celtics,C,10/12/2018,placed on IL with sore left knee
Al Horford,Boston Celtics,C,23/12/2018,activated from IL
Al Horford,Boston Celtics,C,23/01/2019,placed on IL
Al Horford,Boston Celtics,C,26/01/2019,activated from IL
Al Horford,Boston Celtics,C,22/03/2019,sore left knee (DTD)
Al Horford,Boston Celtics,C,23/03/2019,placed on IL with sore left knee
Al Horford,Boston Celtics,C,26/03/2019,activated from IL
Al Horford,Boston Celtics,C,30/03/2019,placed on IL with sore left knee
Al Horford,Boston Celtics,C,01/04/2019,activated from IL
Al Horford,Boston Celtics,C,08/04/2019,sore left knee (DTD)
Al Horford,Boston Celtics,C,09/04/2019,placed on IL with sore left knee
Al Horford,Boston Celtics,C,14/04/2019,activated from IL
Al Horford,Boston Celtics,C,12/12/2019,sore left knee (DTD)
Al Horford,Boston Celtics,C,13/12/2019,placed on IL with sore left knee
Al Horford,Boston Celtics,C,15/12/2019,activated from IL
Al Horford,Boston Celtics,C,30/01/2020,placed on IL with sore left knee
Al Horford,Boston Celtics,C,01/02/2020,activated from IL
Al Horford,Boston Celtics,C,11/08/2020,sore left knee (DTD)
Al Horford,Boston Celtics,C,12/08/2020,returned to lineup
Enes Kanter,Boston Celtics,C,04/01/2013,sprained right ankle (DNP)
Enes Kanter,Boston Celtics,C,05/01/2013,sprained right ankle (DNP)
Enes Kanter,Boston Celtics,C,27/03/2013,dislocated left shoulder (out indefinitely)
Enes Kanter,Boston Celtics,C,29/03/2013,placed on IL with dislocated left shoulder (out for season)
Enes Kanter,Boston Celtics,C,10/04/2013,surgery to repair dislocated left shoulder (out indefinitely)
Enes Kanter,Boston Celtics,C,25/11/2013,placed on IL with sprained right ankle
Enes Kanter,Boston Celtics,C,29/11/2013,activated from IL
Enes Kanter,Boston Celtics,C,16/04/2014,placed on IL
Enes Kanter,Boston Celtics,C,16/04/2014,knee injury (DNP)
Enes Kanter,Boston Celtics,C,03/01/2015,sprained right ankle (out indefinitely)
Enes Kanter,Boston Celtics,C,10/01/2015,returned to lineup
Enes Kanter,Boston Celtics,C,27/02/2015,bruised right thigh (DTD)
Enes Kanter,Boston Celtics,C,01/03/2015,returned to lineup
Enes Kanter,Boston Celtics,C,20/03/2015,sprained left ankle (DTD)
Enes Kanter,Boston Celtics,C,22/03/2015,returned to lineup
Enes Kanter,Boston Celtics,C,26/01/2017,fractured right arm / hand (out indefinitely)
Enes Kanter,Boston Celtics,C,27/01/2017,surgery on right arm / hand to repair fracture (out indefinitely)
Enes Kanter,Boston Celtics,C,29/01/2017,placed on IL recovering from surgery on right arm / hand to repair fracture
Enes Kanter,Boston Celtics,C,24/02/2017,activated from IL
Enes Kanter,Boston Celtics,C,24/11/2017,placed on IL with back spasms
Enes Kanter,Boston Celtics,C,29/11/2017,activated from IL
Enes Kanter,Boston Celtics,C,08/02/2018,oral surgery (DTD)
Enes Kanter,Boston Celtics,C,11/02/2018,returned to lineup
Enes Kanter,Boston Celtics,C,11/03/2018,back spasms (DTD)
Enes Kanter,Boston Celtics,C,13/03/2018,returned to lineup
Enes Kanter,Boston Celtics,C,31/03/2018,placed on IL with sore lower back (out for season)
Enes Kanter,Boston Celtics,C,11/01/2019,placed on IL with illness
Enes Kanter,Boston Celtics,C,21/01/2019,activated from IL
Enes Kanter,Boston Celtics,C,24/10/2019,bruised left knee (DTD)
Enes Kanter,Boston Celtics,C,25/10/2019,placed on IL with bruised left knee
Enes Kanter,Boston Celtics,C,05/11/2019,activated from IL
Enes Kanter,Boston Celtics,C,05/11/2019,bruised left knee (DTD)
Enes Kanter,Boston Celtics,C,07/11/2019,placed on IL with bruised left knee
Enes Kanter,Boston Celtics,C,11/11/2019,activated from IL
Enes Kanter,Boston Celtics,C,23/01/2020,bruised right hip (DTD)
Enes Kanter,Boston Celtics,C,24/01/2020,placed on IL with bruised right hip
Enes Kanter,Boston Celtics,C,03/02/2020,activated from IL
Luke Kornet,Boston Celtics,C,19/10/2017,placed on IL
Luke Kornet,Boston Celtics,C,08/02/2018,activated from IL
Luke Kornet,Boston Celtics,C,21/03/2018,placed on IL
Luke Kornet,Boston Celtics,C,23/03/2018,activated from IL
Luke Kornet,Boston Celtics,C,17/10/2018,placed on IL
Luke Kornet,Boston Celtics,C,19/10/2018,activated from IL
Luke Kornet,Boston Celtics,C,05/11/2018,placed on IL
Luke Kornet,Boston Celtics,C,01/12/2018,activated from IL
Luke Kornet,Boston Celtics,C,22/01/2019,sprained left ankle (out indefinitely)
Luke Kornet,Boston Celtics,C,23/01/2019,placed on IL with sprained left ankle
Luke Kornet,Boston Celtics,C,01/02/2019,activated from IL
Luke Kornet,Boston Celtics,C,17/11/2019,sinusitis (DTD)
Luke Kornet,Boston Celtics,C,18/11/2019,placed on IL recovering from surgery on sinus
Luke Kornet,Boston Celtics,C,27/11/2019,activated from IL
Luke Kornet,Boston Celtics,C,22/02/2020,sprained left ankle (DTD)
Luke Kornet,Boston Celtics,C,23/02/2020,placed on IL with sprained left ankle (out for season)
Luke Kornet,Boston Celtics,C,27/02/2020,fractured left foot (out indefinitely)
Romeo Langford,Boston Celtics,SG,22/10/2019,sore right knee (DTD)
Romeo Langford,Boston Celtics,SG,23/10/2019,placed on IL with sore right knee
Romeo Langford,Boston Celtics,SG,30/10/2019,activated from IL
Romeo Langford,Boston Celtics,SG,05/11/2019,placed on IL with illness
Romeo Langford,Boston Celtics,SG,11/11/2019,activated from IL
Romeo Langford,Boston Celtics,SG,15/11/2019,placed on IL
Romeo Langford,Boston Celtics,SG,25/11/2019,sprained right ankle (DTD)
Romeo Langford,Boston Celtics,SG,04/12/2019,sprained right ankle (DTD)
Romeo Langford,Boston Celtics,SG,11/12/2019,activated from IL
Romeo Langford,Boston Celtics,SG,06/01/2020,placed on IL with illness
Romeo Langford,Boston Celtics,SG,12/01/2020,activated from IL
Romeo Langford,Boston Celtics,SG,18/09/2020,placed on IL with strained right adductor (out for season)
Romeo Langford,Boston Celtics,SG,22/09/2020,surgery on right wrist (out for season)
Jabari Parker,Boston Celtics,PF,16/12/2014,torn ACL in left knee (out for season)
Jabari Parker,Boston Celtics,PF,23/12/2014,placed on IL with torn ACL in left knee (out for season)
Jabari Parker,Boston Celtics,PF,05/01/2015,surgery on left knee to repair torn ACL (out for season)
Jabari Parker,Boston Celtics,PF,26/10/2015,sore left knee (DTD)
Jabari Parker,Boston Celtics,PF,28/10/2015,placed on IL recovering from surgery on left knee to repair torn ACL
Jabari Parker,Boston Celtics,PF,04/11/2015,activated from IL
Jabari Parker,Boston Celtics,PF,11/11/2015,rest (DTD)
Jabari Parker,Boston Celtics,PF,16/11/2015,sprained right foot (DTD)
Jabari Parker,Boston Celtics,PF,17/11/2015,placed on IL with sprained right foot
Jabari Parker,Boston Celtics,PF,19/11/2015,activated from IL
Jabari Parker,Boston Celtics,PF,08/02/2017,torn ACL in left knee (out for season)
Jabari Parker,Boston Celtics,PF,10/02/2017,placed on IL with torn ACL in left knee
Jabari Parker,Boston Celtics,PF,15/02/2017,surgery on left knee to repair torn ACL (out for season)
Jabari Parker,Boston Celtics,PF,08/04/2017,activated from IL
Jabari Parker,Boston Celtics,PF,10/04/2017,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
Jabari Parker,Boston Celtics,PF,15/04/2017,placed on IL recovering from surgery on left knee to repair torn ACL (out for season)
Jabari Parker,Boston Celtics,PF,18/10/2017,placed on IL recovering from surgery on left knee to repair torn ACL
Jabari Parker,Boston Celtics,PF,02/02/2018,activated from IL
Jabari Parker,Boston Celtics,PF,15/12/2018,stomach illness (DTD)
Jabari Parker,Boston Celtics,PF,17/12/2018,placed on IL with stomach illness
Jabari Parker,Boston Celtics,PF,23/12/2018,activated from IL
Jabari Parker,Boston Celtics,PF,23/01/2019,right knee injury (DTD)
Jabari Parker,Boston Celtics,PF,25/01/2019,returned to lineup
Jabari Parker,Boston Celtics,PF,02/02/2019,placed on IL for personal reasons
Jabari Parker,Boston Celtics,PF,04/04/2019,sprained left knee (out for season)
Jabari Parker,Boston Celtics,PF,27/12/2019,placed on IL with right shoulder injury
Jabari Parker,Boston Celtics,PF,03/01/2020,activated from IL
Jabari Parker,Boston Celtics,PF,04/01/2020,placed on IL with throat injury
Jabari Parker,Boston Celtics,PF,07/01/2020,placed on IL with right shoulder injury
Jabari Parker,Boston Celtics,PF,20/02/2020,activated from IL
Jabari Parker,Boston Celtics,PF,08/03/2020,stomach illness (DTD)
Jabari Parker,Boston Celtics,PF,10/03/2020,returned to lineup
Josh Richardson,Boston Celtics,SG,28/10/2015,placed on IL
Josh Richardson,Boston Celtics,SG,03/11/2015,activated from IL
Josh Richardson,Boston Celtics,SG,06/11/2015,activated from IL (P)
Josh Richardson,Boston Celtics,SG,06/01/2016,placed on IL
Josh Richardson,Boston Celtics,SG,08/09/2016,partially torn MCL in right knee (out indefinitely)
Josh Richardson,Boston Celtics,SG,04/11/2016,returned to lineup
Josh Richardson,Boston Celtics,SG,30/11/2016,sore/sprained right ankle (DTD)
Josh Richardson,Boston Celtics,SG,10/12/2016,returned to lineup
Josh Richardson,Boston Celtics,SG,07/01/2017,sprained left foot (DTD)
Josh Richardson,Boston Celtics,SG,24/02/2017,returned to lineup
Josh Richardson,Boston Celtics,SG,14/03/2018,sore left foot (DTD)
Josh Richardson,Boston Celtics,SG,16/03/2018,returned to lineup
Josh Richardson,Boston Celtics,SG,08/12/2018,right shoulder injury (DTD)
Josh Richardson,Boston Celtics,SG,10/12/2018,returned to lineup
Josh Richardson,Boston Celtics,SG,18/01/2019,illness (DTD)
Josh Richardson,Boston Celtics,SG,19/01/2019,returned to lineup
Josh Richardson,Boston Celtics,SG,28/03/2019,bruised left heel (DTD)
Josh Richardson,Boston Celtics,SG,03/04/2019,returned to lineup
Josh Richardson,Boston Celtics,SG,04/04/2019,strained left hip (out for season)
Josh Richardson,Boston Celtics,SG,05/04/2019,placed on IL with strained left hip (out for season)
Josh Richardson,Boston Celtics,SG,20/11/2019,placed on IL with right hip flexor injury
Josh Richardson,Boston Celtics,SG,23/11/2019,activated from IL
Josh Richardson,Boston Celtics,SG,29/11/2019,placed on IL with right hamstring injury
Josh Richardson,Boston Celtics,SG,10/12/2019,activated from IL
Josh Richardson,Boston Celtics,SG,23/01/2020,strained left hamstring (out indefinitely)
Josh Richardson,Boston Celtics,SG,25/01/2020,placed on IL with strained left hamstring
Josh Richardson,Boston Celtics,SG,07/02/2020,activated from IL
Josh Richardson,Boston Celtics,SG,02/03/2020,concussion (DTD)
Josh Richardson,Boston Celtics,SG,03/03/2020,placed on IL with concussion
Josh Richardson,Boston Celtics,SG,10/03/2020,activated from IL
Dennis Schroder,Boston Celtics,PG,04/12/2013,placed on IL
Dennis Schroder,Boston Celtics,PG,16/12/2013,activated from IL
Dennis Schroder,Boston Celtics,PG,17/01/2015,ankle injury (DTD)
Dennis Schroder,Boston Celtics,PG,19/01/2015,returned to lineup
Dennis Schroder,Boston Celtics,PG,31/03/2015,placed on IL with toe injury
Dennis Schroder,Boston Celtics,PG,07/04/2015,activated from IL
Dennis Schroder,Boston Celtics,PG,29/12/2015,DNP
Dennis Schroder,Boston Celtics,PG,07/04/2017,rest / foot injury (DTD)
Dennis Schroder,Boston Celtics,PG,09/04/2017,returned to lineup
Dennis Schroder,Boston Celtics,PG,12/04/2017,rest (DTD)
Dennis Schroder,Boston Celtics,PG,16/04/2017,returned to lineup
Dennis Schroder,Boston Celtics,PG,23/10/2017,placed on IL with sprained left ankle
Dennis Schroder,Boston Celtics,PG,27/10/2017,activated from IL
Dennis Schroder,Boston Celtics,PG,22/12/2017,left ankle injury (DTD)
Dennis Schroder,Boston Celtics,PG,23/12/2017,returned to lineup
Dennis Schroder,Boston Celtics,PG,14/02/2018,tightness in lower back (DTD)
Dennis Schroder,Boston Celtics,PG,22/02/2018,returned to lineup
Dennis Schroder,Boston Celtics,PG,11/03/2018,sprained left elbow (DTD)
Dennis Schroder,Boston Celtics,PG,13/03/2018,returned to lineup
Dennis Schroder,Boston Celtics,PG,22/03/2018,rest (DTD)
Dennis Schroder,Boston Celtics,PG,23/03/2018,returned to lineup
Dennis Schroder,Boston Celtics,PG,25/03/2018,sprained left ankle (out for season)
Dennis Schroder,Boston Celtics,PG,01/04/2018,placed on IL with sprained left ankle (out for season)
Dennis Schroder,Boston Celtics,PG,28/12/2019,sore right ankle (DTD)
Dennis Schroder,Boston Celtics,PG,29/12/2019,placed on IL with sore right ankle
Dennis Schroder,Boston Celtics,PG,31/12/2019,activated from IL
Marcus Smart,Boston Celtics,PG,08/11/2014,sprained left ankle (DNP)
Marcus Smart,Boston Celtics,PG,12/11/2014,placed on IL
Marcus Smart,Boston Celtics,PG,03/12/2014,activated from IL
Marcus Smart,Boston Celtics,PG,15/12/2014,strained left Achilles (DTD)
Marcus Smart,Boston Celtics,PG,19/12/2014,returned to lineup
Marcus Smart,Boston Celtics,PG,04/11/2015,placed on IL with sprained left toe
Marcus Smart,Boston Celtics,PG,11/11/2015,activated from IL
Marcus Smart,Boston Celtics,PG,21/11/2015,bruised left knee (DTD)
Marcus Smart,Boston Celtics,PG,22/11/2015,placed on IL with left knee injury
Marcus Smart,Boston Celtics,PG,27/12/2015,activated from IL
Marcus Smart,Boston Celtics,PG,20/10/2016,sprained left ankle (DTD)
Marcus Smart,Boston Celtics,PG,26/10/2016,placed on IL with sprained left ankle
Marcus Smart,Boston Celtics,PG,02/11/2016,activated from IL
Marcus Smart,Boston Celtics,PG,20/10/2017,placed on IL with sore ankle
Marcus Smart,Boston Celtics,PG,26/10/2017,activated from IL
Marcus Smart,Boston Celtics,PG,24/01/2018,right hand injury (DTD)
Marcus Smart,Boston Celtics,PG,27/01/2018,placed on IL with right hand injury
Marcus Smart,Boston Celtics,PG,23/02/2018,activated from IL
Marcus Smart,Boston Celtics,PG,12/03/2018,sprained right thumb (out indefinitely)
Marcus Smart,Boston Celtics,PG,14/03/2018,placed on IL with sprained right thumb
Marcus Smart,Boston Celtics,PG,16/03/2018,surgery on right thumb (out indefinitely)
Marcus Smart,Boston Celtics,PG,24/04/2018,activated from IL
Marcus Smart,Boston Celtics,PG,14/01/2019,placed on IL with illness
Marcus Smart,Boston Celtics,PG,16/01/2019,activated from IL
Marcus Smart,Boston Celtics,PG,08/04/2019,torn left oblique (out indefinitely)
Marcus Smart,Boston Celtics,PG,09/04/2019,placed on IL with torn left oblique
Marcus Smart,Boston Celtics,PG,06/05/2019,activated from IL
Marcus Smart,Boston Celtics,PG,04/12/2019,illness (DTD)
Marcus Smart,Boston Celtics,PG,06/12/2019,returned to lineup
Marcus Smart,Boston Celtics,PG,09/12/2019,placed on IL with left eye injury
Marcus Smart,Boston Celtics,PG,28/12/2019,activated from IL
Marcus Smart,Boston Celtics,PG,03/02/2020,placed on IL with bruised right thigh
Marcus Smart,Boston Celtics,PG,07/02/2020,activated from IL
Marcus Smart,Boston Celtics,PG,19/03/2020,COVID-19 coronavirus (out indefinitely)
Jayson Tatum,Boston Celtics,SF,06/04/2018,placed on IL for rest
Jayson Tatum,Boston Celtics,SF,08/04/2018,activated from IL
Jayson Tatum,Boston Celtics,SF,11/03/2019,placed on IL with sore right shoulder
Jayson Tatum,Boston Celtics,SF,14/03/2019,activated from IL
Jayson Tatum,Boston Celtics,SF,24/03/2019,placed on IL with bruised lower back
Jayson Tatum,Boston Celtics,SF,26/03/2019,activated from IL
Jayson Tatum,Boston Celtics,SF,08/04/2019,bruised left shin (DTD)
Jayson Tatum,Boston Celtics,SF,13/04/2019,returned to lineup
Jayson Tatum,Boston Celtics,SF,15/01/2020,placed on IL with sore right knee
Jayson Tatum,Boston Celtics,SF,16/01/2020,activated from IL
Jayson Tatum,Boston Celtics,SF,24/01/2020,strained right groin (DTD)
Jayson Tatum,Boston Celtics,SF,30/01/2020,returned to lineup
Jayson Tatum,Boston Celtics,SF,03/03/2020,placed on IL with illness
Jayson Tatum,Boston Celtics,SF,04/03/2020,activated from IL
Jayson Tatum,Boston Celtics,SF,12/08/2020,placed on IL with sprained left ankle
Jayson Tatum,Boston Celtics,SF,17/08/2020,activated from IL
Robert Williams III,Boston Celtics,C,16/10/2018,placed on IL
Robert Williams III,Boston Celtics,C,20/10/2018,activated from IL
Robert Williams III,Boston Celtics,C,11/11/2018,placed on IL
Robert Williams III,Boston Celtics,C,23/11/2018,activated from IL
Robert Williams III,Boston Celtics,C,06/12/2018,placed on IL
Robert Williams III,Boston Celtics,C,10/12/2018,activated from IL
Robert Williams III,Boston Celtics,C,27/12/2018,placed on IL with strained left groin
Robert Williams III,Boston Celtics,C,07/01/2019,activated from IL
Robert Williams III,Boston Celtics,C,16/01/2019,placed on IL
Robert Williams III,Boston Celtics,C,19/01/2019,activated from IL
Robert Williams III,Boston Celtics,C,21/01/2019,placed on IL
Robert Williams III,Boston Celtics,C,23/01/2019,activated from IL
Robert Williams III,Boston Celtics,C,26/01/2019,placed on IL
Robert Williams III,Boston Celtics,C,28/01/2019,activated from IL
Robert Williams III,Boston Celtics,C,30/01/2019,placed on IL
Robert Williams III,Boston Celtics,C,03/02/2019,sore back (DTD)
Robert Williams III,Boston Celtics,C,07/02/2019,activated from IL
Robert Williams III,Boston Celtics,C,12/02/2019,sore back (DTD)
Robert Williams III,Boston Celtics,C,13/02/2019,returned to lineup
Robert Williams III,Boston Celtics,C,13/02/2019,placed on IL with illness
Robert Williams III,Boston Celtics,C,21/02/2019,activated from IL
Robert Williams III,Boston Celtics,C,18/03/2019,placed on IL with illness
Robert Williams III,Boston Celtics,C,20/03/2019,activated from IL
Robert Williams III,Boston Celtics,C,24/03/2019,placed on IL with bruised lower back
Robert Williams III,Boston Celtics,C,29/03/2019,activated from IL
Robert Williams III,Boston Celtics,C,01/11/2019,placed on IL with sore left hip
Robert Williams III,Boston Celtics,C,05/11/2019,activated from IL
Robert Williams III,Boston Celtics,C,13/11/2019,sore right ankle (DTD)
Robert Williams III,Boston Celtics,C,15/11/2019,returned to lineup
Robert Williams III,Boston Celtics,C,08/12/2019,sore left hip (DTD)
Robert Williams III,Boston Celtics,C,09/12/2019,placed on IL with sore left hip
Robert Williams III,Boston Celtics,C,29/02/2020,activated from IL
LaMarcus Aldridge,Brooklyn Nets,F,13/04/2011,rest (DNP)
LaMarcus Aldridge,Brooklyn Nets,F,09/12/2011,underwent procedure on heart for Wolff-Parkinson-White Syndrome (irregular heartbeat) (DTD)
LaMarcus Aldridge,Brooklyn Nets,F,15/02/2012,placed on IL with sprained left ankle
LaMarcus Aldridge,Brooklyn Nets,F,18/02/2012,activated from IL
LaMarcus Aldridge,Brooklyn Nets,F,30/03/2012,sprained left elbow (DNP)
LaMarcus Aldridge,Brooklyn Nets,F,11/04/2012,right hip injury (DNP)
